timestamp	 AU01_c	 AU02_c	 AU04_c	 AU05_c
0	0	0	0	0
0.033	0	0	0	0
0.067	1	0	0	0
0.1	1	0	0	0
0.133	1	0	0	0
0.167	1	0	0	0
0.2	1	0	0	0
0.233	1	0	0	0
0.267	1	0	0	0
0.3	1	0	0	0
0.333	1	0	0	0
0.367	1	0	0	0
0.4	1	0	0	0
0.433	1	0	0	0
0.467	1	0	0	0
0.5	1	0	0	0
0.533	1	0	0	0
0.567	1	0	0	0
0.6	1	0	0	0
0.633	1	0	0	0
0.667	1	0	0	0
0.7	1	0	0	0
0.733	1	0	0	0
0.767	1	0	0	0
0.8	1	0	0	0
0.833	1	0	0	0
0.867	1	0	0	0
0.9	1	0	0	0
0.933	1	0	0	0
0.967	1	0	0	0
1	1	0	0	0
1.033	1	0	0	0
1.067	0	0	0	0
1.1	0	0	0	0
1.133	0	0	0	0
1.167	0	0	0	0
1.2	0	0	0	0
1.233	0	0	0	0
1.267	0	0	0	0
1.3	0	0	0	0
1.333	0	0	0	0
1.367	0	0	0	0
1.4	0	0	0	0
1.433	0	0	0	0
1.467	0	0	0	0
1.5	0	0	0	0
1.533	0	0	0	0
1.567	0	0	0	0
1.6	0	0	0	0
1.633	0	0	0	0
1.667	0	0	0	0
1.7	0	0	0	0
1.733	0	0	0	0
1.767	0	0	0	0
1.8	0	0	0	0
1.833	0	0	0	0
1.867	0	0	0	0
1.9	0	0	0	0
1.933	0	0	0	0
1.967	0	0	0	0
2	0	0	0	0
2.033	0	0	0	0
2.067	0	0	0	0
2.1	0	0	0	0
2.133	0	0	0	0
2.167	0	0	0	0
2.2	0	0	0	0
2.233	0	0	0	0
2.267	0	0	0	0
2.3	0	0	0	0
2.333	0	0	0	0
2.367	0	0	0	0
2.4	0	0	0	0
2.433	0	0	0	0
2.467	0	0	0	0
2.5	0	0	0	0
2.533	0	0	0	0
2.567	0	0	0	0
2.6	0	0	0	0
2.633	0	0	0	0
2.667	0	0	0	0
2.7	0	0	0	0
2.733	0	0	0	0
2.767	0	0	0	0
2.8	0	0	0	0
2.833	0	0	0	0
2.867	0	0	0	0
2.9	0	0	0	0
2.933	0	0	0	0
2.967	0	0	0	0
3	0	0	0	0
3.033	0	0	0	0
3.067	0	0	0	0
3.1	0	0	0	0
3.133	0	0	0	0
3.167	0	0	0	0
3.2	0	0	0	0
3.233	0	0	0	0
3.267	0	0	0	0
3.3	0	0	0	0
3.333	0	0	0	0
3.367	0	0	0	0
3.4	0	0	0	0
3.433	0	0	0	0
3.467	0	0	0	0
3.5	0	0	0	0
3.533	0	0	0	0
3.567	0	0	0	0
3.6	0	0	0	0
3.633	0	0	0	0
3.667	0	0	0	0
3.7	0	0	0	0
3.733	0	0	0	0
3.767	0	0	0	0
3.8	0	0	0	0
3.833	0	0	0	0
3.867	1	0	0	0
3.9	1	0	0	0
3.933	1	0	0	0
3.967	1	0	0	0
4	1	1	0	0
4.033	1	1	0	0
4.067	1	1	0	0
4.1	1	1	0	0
4.133	1	1	0	0
4.167	1	1	0	0
4.2	1	1	0	0
4.233	1	1	0	0
4.267	1	1	0	0
4.3	1	1	0	0
4.333	1	0	0	0
4.367	1	0	1	0
4.4	1	0	1	0
4.433	1	0	1	0
4.467	1	0	1	0
4.5	1	0	1	0
4.533	1	0	1	0
4.567	0	0	1	0
4.6	0	0	1	0
4.633	0	0	1	0
4.667	0	0	1	0
4.7	0	0	1	0
4.733	0	0	1	0
4.767	0	0	1	0
4.8	0	0	1	0
4.833	0	0	1	0
4.867	0	0	1	0
4.9	0	0	1	0
4.933	0	0	0	0
4.967	0	0	0	0
5	0	0	0	0
5.033	0	0	0	0
5.067	0	0	0	0
5.1	0	0	0	0
5.133	0	0	0	0
5.167	0	0	0	0
5.2	0	0	0	0
5.233	0	0	0	0
5.267	0	0	0	0
5.3	0	0	0	0
5.333	0	0	0	0
5.367	0	0	0	0
5.4	0	0	0	0
5.433	0	0	0	0
5.467	0	0	0	0
5.5	0	0	0	0
5.533	0	0	0	0
5.567	0	0	0	0
5.6	0	0	0	0
5.633	0	0	0	0
5.667	0	0	0	0
5.7	0	0	0	0
5.733	0	0	0	0
5.767	0	0	0	0
5.8	0	0	0	0
5.833	0	0	0	0
5.867	0	0	0	0
5.9	0	0	0	0
5.933	0	0	0	0
5.967	0	0	0	0
6	0	0	0	0
6.033	0	0	0	0
6.067	0	0	1	0
6.1	0	0	1	0
6.133	0	0	1	0
6.167	0	0	1	0
6.2	0	0	1	0
6.233	0	0	1	0
6.267	0	0	1	0
6.3	0	0	1	0
6.333	0	0	1	0
6.367	0	0	1	0
6.4	0	0	1	0
6.433	0	0	1	0
6.467	0	0	1	0
6.5	0	0	1	0
6.533	0	0	1	0
6.567	0	0	1	0
6.6	0	0	1	0
6.633	0	0	1	0
6.667	0	0	1	0
6.7	0	0	1	0
6.733	0	0	1	0
6.767	0	0	1	0
6.8	0	0	1	0
6.833	0	0	1	0
6.867	0	0	1	0
6.9	0	0	1	0
6.933	0	0	1	0
6.967	0	0	1	0
7	0	0	1	0
7.033	0	0	1	0
7.067	0	0	1	0
7.1	0	0	1	0
7.133	0	0	1	0
7.167	0	0	1	0
7.2	0	1	0	0
7.233	0	1	0	0
7.267	0	1	0	0
7.3	0	1	0	0
7.333	0	1	0	0
7.367	0	0	0	0
7.4	0	0	0	0
7.433	0	0	0	0
7.467	0	0	0	0
7.5	0	0	0	0
7.533	0	0	0	0
7.567	0	0	0	0
7.6	0	0	0	0
7.633	0	0	0	0
7.667	0	0	0	0
7.7	0	0	0	0
7.733	0	0	0	0
7.767	0	0	0	0
7.8	0	0	0	0
7.833	0	1	0	0
7.867	0	1	0	0
7.9	0	1	0	0
7.933	0	1	0	0
7.967	0	1	0	0
8	0	1	0	0
8.033	0	1	0	0
8.067	0	1	0	0
8.1	0	1	0	0
8.133	0	1	0	0
8.167	0	1	0	0
8.2	0	1	0	0
8.233	0	1	0	0
8.267	0	1	0	0
8.3	0	1	0	0
8.333	0	1	0	0
8.367	0	0	0	0
8.4	0	0	0	0
8.433	0	0	0	0
8.467	0	0	0	0
8.5	0	0	0	0
8.533	0	0	0	0
8.567	0	0	0	0
8.6	1	0	0	0
8.633	1	0	0	0
8.667	1	0	0	0
8.7	1	0	0	0
8.733	1	1	0	0
8.767	1	1	0	0
8.8	1	1	0	0
8.833	1	1	0	0
8.867	1	1	0	0
8.9	1	1	0	0
8.933	1	1	0	0
8.967	1	1	0	0
9	1	1	0	0
9.033	1	1	0	0
9.067	1	1	0	0
9.1	0	1	0	0
9.133	0	1	0	0
9.167	0	1	0	0
9.2	0	1	0	0
9.233	0	1	0	0
9.267	0	1	0	0
9.3	0	1	0	0
9.333	0	1	0	0
9.367	0	1	0	0
9.4	0	1	0	0
9.433	0	1	0	0
9.467	0	1	0	0
9.5	0	0	0	0
9.533	0	0	0	0
9.567	0	0	0	0
9.6	0	0	0	0
9.633	0	0	0	0
9.667	0	0	0	0
9.7	0	0	0	0
9.733	0	0	0	0
9.767	0	0	0	0
9.8	0	0	0	0
9.833	0	0	0	0
9.867	0	0	0	0
9.9	0	0	0	0
9.933	0	0	0	0
9.967	0	0	0	0
10	0	0	0	0
